element	isotope	mass	abundance	ratioC
H	1H	1.007825032	0.999885	6
H	2H	2.014101778	0.000115	6
Li	6Li	6.0151223	0.0759	0
Li	7Li	7.0160041	0.9241	0
Be	9Be	9.0121822	1	0
B	10B	10.0129371	0.199	0
B	11B	11.0093055	0.801	0
C	12C	12	0.9893	0
C	13C	13.00335484	0.0107	0
N	14N	14.00307401	0.99636	4
N	15N	15.00010897	0.00364	4
O	16O	15.99491462	0.99757	3
O	17O	16.9991315	0.00038	3
O	18O	17.9991604	0.00205	3
F	19F	18.9984032	1	6
Na	23Na	22.98976966	1	0
Mg	24Mg	23.98504187	0.7899	0
Mg	25Mg	24.985837	0.1	0
Mg	26Mg	25.982593	0.1101	0
Al	27Al	26.98153863	1	0
Si	28Si	27.97692649	0.92223	1
Si	29Si	28.97649468	0.04685	1
Si	30Si	29.97377018	0.03092	1
P	31P	30.97376149	1	2
S	32S	31.97207073	0.9499	3
S	33S	32.97145854	0.0075	3
S	34S	33.96786687	0.0425	3
S	35S	35	0	3
S	36S	35.96708088	1.00E-04	3
Cl	35Cl	34.96885271	0.7576	2
Cl	36Cl	36	0	2
Cl	37Cl	36.9659026	0.2424	2
K	39K	38.9637069	0.932581	0
K	40K	39.96399867	0.000117	0
K	41K	40.96182597	0.067302	0
Ca	40Ca	39.9625912	0.96941	0
Ca	41Ca	41	0	0
Ca	42Ca	41.9586183	0.00647	0
Ca	43Ca	42.9587668	0.00135	0
Ca	44Ca	43.9554811	0.02086	0
Ca	45Ca	45	0	0
Ca	46Ca	45.9536927	4.00E-05	0
Ca	47Ca	47	0	0
Ca	48Ca	47.952533	0.00187	0
